GENE	OCCURRENCE	SOURCE
EPAS1	4	ONCOKB
EPHA5	4	ONCOKB
EPHA7	4	ONCOKB
ERCC2	4	ONCOKB
ERCC3	4	ONCOKB
ERCC5	4	ONCOKB
ERRFI1	4	ONCOKB
ETV4	4	ONCOKB
ETV5	4	ONCOKB
EWSR1	4	ONCOKB
FANCD2	4	ONCOKB
FANCG	4	ONCOKB
FAT1	4	ONCOKB
FBXO11	4	ONCOKB
FOXA1	4	ONCOKB
GLI1	4	ONCOKB
GNA13	4	ONCOKB
H1-2	4	ONCOKB
H3-3B	4	ONCOKB
HDAC1	4	ONCOKB
HLA-A	4	ONCOKB
IKZF3	4	ONCOKB
INHBA	4	ONCOKB
LATS1	4	ONCOKB
LATS2	4	ONCOKB
LYN	4	ONCOKB
MAF	4	ONCOKB
MAP3K14	4	ONCOKB
MAX	4	ONCOKB
MLLT1	4	ONCOKB
MST1R	4	ONCOKB
MYB	4	ONCOKB
MYOD1	4	ONCOKB
NCOR2	4	ONCOKB
NOTCH3	4	ONCOKB
NUP93	4	ONCOKB
PARP1	4	ONCOKB
PHOX2B	4	ONCOKB
PIK3C2G	4	ONCOKB
PIK3CG	4	ONCOKB
PIK3R2	4	ONCOKB
PLCG2	4	ONCOKB
PPM1D	4	ONCOKB
PPP6C	4	ONCOKB
PREX2	4	ONCOKB
PRKCI	4	ONCOKB
PRKN	4	ONCOKB
PTPRT	4	ONCOKB
RAD51C	4	ONCOKB
RAD51D	4	ONCOKB
RAD52	4	ONCOKB
RAD54L	4	ONCOKB
RECQL4	4	ONCOKB
RRAS2	4	ONCOKB
RUNX1T1	4	ONCOKB
SDHAF2	4	ONCOKB
SGK1	4	ONCOKB
SH2B3	4	ONCOKB
SMAD3	4	ONCOKB
STAT5A	4	ONCOKB
STAT6	4	ONCOKB
TBL1XR1	4	ONCOKB
TCF7L2	4	ONCOKB
TEK	4	ONCOKB
TMEM127	4	ONCOKB
TRAF2	4	ONCOKB
VEGFA	4	ONCOKB
WWTR1	4	ONCOKB
XRCC2	4	ONCOKB
ZFHX3	4	ONCOKB
ABL2	3	ONCOKB
ABRAXAS1	3	ONCOKB
AFDN	3	ONCOKB
AFF4	3	ONCOKB
AGO2	3	ONCOKB
ANKRD11	3	ONCOKB
ARHGAP26	3	ONCOKB
ARHGAP35	3	ONCOKB
ARHGEF12	3	ONCOKB
ARID5B	3	ONCOKB
ASXL2	3	ONCOKB
ATF1	3	ONCOKB
ATIC	3	ONCOKB
BABAM1	3	ONCOKB
BBC3	3	ONCOKB
BCL2L11	3	ONCOKB
BCL2L2	3	ONCOKB
BCL3	3	ONCOKB
BCL7A	3	ONCOKB
BCL9	3	ONCOKB
BTG2	3	ONCOKB
CAMTA1	3	ONCOKB
CARM1	3	ONCOKB
CBFA2T3	3	ONCOKB
CCNQ	3	ONCOKB
CD22	3	ONCOKB
CD276	3	ONCOKB
CD58	3	ONCOKB
CD70	3	ONCOKB
CD74	3	ONCOKB
CDC42	3	ONCOKB
CENPA	3	ONCOKB
CEP43	3	ONCOKB
CLTCL1	3	ONCOKB
CNTRL	3	ONCOKB
COL1A1	3	ONCOKB
COP1	3	ONCOKB
CREB3L2	3	ONCOKB
CSDE1	3	ONCOKB
CTLA4	3	ONCOKB
CTNNA1	3	ONCOKB
CYSLTR2	3	ONCOKB
DCUN1D1	3	ONCOKB
DDIT3	3	ONCOKB
DEK	3	ONCOKB
DNM2	3	ONCOKB
DNMT3B	3	ONCOKB
DTX1	3	ONCOKB
DUSP22	3	ONCOKB
DUSP4	3	ONCOKB
E2F3	3	ONCOKB
EBF1	3	ONCOKB
EGFL7	3	ONCOKB
EIF1AX	3	ONCOKB
EIF4E	3	ONCOKB
ELF3	3	ONCOKB
ELF4	3	ONCOKB
ELL	3	ONCOKB
ELOC	3	ONCOKB
EML4	3	ONCOKB
EMSY	3	ONCOKB
EPCAM	3	ONCOKB
ERF	3	ONCOKB
ETNK1	3	ONCOKB
EZH1	3	ONCOKB
FANCE	3	ONCOKB
FANCF	3	ONCOKB
FANCL	3	ONCOKB
FCGR2B	3	ONCOKB
FEV	3	ONCOKB
FGF10	3	ONCOKB
FGF14	3	ONCOKB
FGF23	3	ONCOKB
FGF6	3	ONCOKB
FHIT	3	ONCOKB
FLI1	3	ONCOKB
FOXO3	3	ONCOKB
FUS	3	ONCOKB
FYN	3	ONCOKB
GNA12	3	ONCOKB
GNB1	3	ONCOKB
GPS2	3	ONCOKB
GREM1	3	ONCOKB
H1-3	3	ONCOKB
H1-4	3	ONCOKB
H2AC11	3	ONCOKB
H2AC16	3	ONCOKB
H2AC17	3	ONCOKB
H2AC6	3	ONCOKB
H2BC11	3	ONCOKB
H2BC12	3	ONCOKB
H2BC17	3	ONCOKB
H2BC4	3	ONCOKB
H2BC5	3	ONCOKB
H3-4	3	ONCOKB
H3-5	3	ONCOKB
H3C1	3	ONCOKB
H3C10	3	ONCOKB
H3C11	3	ONCOKB
H3C12	3	ONCOKB
H3C13	3	ONCOKB
H3C14	3	ONCOKB
H3C3	3	ONCOKB
H3C4	3	ONCOKB
H3C6	3	ONCOKB
H3C7	3	ONCOKB
H3C8	3	ONCOKB
H4C9	3	ONCOKB
HDAC4	3	ONCOKB
HDAC7	3	ONCOKB
HERPUD1	3	ONCOKB
HIF1A	3	ONCOKB
HIP1	3	ONCOKB
HLA-B	3	ONCOKB
HMGA1	3	ONCOKB
HMGA2	3	ONCOKB
HOXA11	3	ONCOKB
